location,date,population,total_cases,Covid_Per_Pop
Afghanistan,2/24/2020,38928341,1,0.000002568822545
Afghanistan,2/25/2020,38928341,1,0.000002568822545
Afghanistan,2/26/2020,38928341,1,0.000002568822545
Afghanistan,2/27/2020,38928341,1,0.000002568822545
Afghanistan,2/28/2020,38928341,1,0.000002568822545
Afghanistan,2/29/2020,38928341,1,0.000002568822545
Afghanistan,3/1/2020,38928341,1,0.000002568822545
Afghanistan,3/2/2020,38928341,1,0.000002568822545
Afghanistan,3/3/2020,38928341,2,0.00000513764509
Afghanistan,3/4/2020,38928341,4,0.00001027529018
Afghanistan,3/5/2020,38928341,4,0.00001027529018
Afghanistan,3/6/2020,38928341,4,0.00001027529018
Afghanistan,3/7/2020,38928341,4,0.00001027529018
Afghanistan,3/8/2020,38928341,5,0.00001284411272
Afghanistan,3/9/2020,38928341,7,0.00001798175781
Afghanistan,3/10/2020,38928341,8,0.00002055058036
Afghanistan,3/11/2020,38928341,11,0.00002825704799
Afghanistan,3/12/2020,38928341,12,0.00003082587054
Afghanistan,3/13/2020,38928341,13,0.00003339469308
Afghanistan,3/14/2020,38928341,15,0.00003853233817
Afghanistan,3/15/2020,38928341,16,0.00004110116072
Afghanistan,3/16/2020,38928341,18,0.00004623880581
Afghanistan,3/17/2020,38928341,20,0.0000513764509
Afghanistan,3/18/2020,38928341,24,0.00006165174108
Afghanistan,3/19/2020,38928341,25,0.00006422056362
Afghanistan,3/20/2020,38928341,29,0.0000744958538
Afghanistan,3/21/2020,38928341,30,0.00007706467635
Afghanistan,3/22/2020,38928341,34,0.00008733996653
Afghanistan,3/23/2020,38928341,41,0.0001053217243
Afghanistan,3/24/2020,38928341,43,0.0001104593694
Afghanistan,3/25/2020,38928341,76,0.0001952305134
Afghanistan,3/26/2020,38928341,80,0.0002055058036
Afghanistan,3/27/2020,38928341,91,0.0002337628516
Afghanistan,3/28/2020,38928341,107,0.0002748640123
Afghanistan,3/29/2020,38928341,118,0.0003031210603
Afghanistan,3/30/2020,38928341,146,0.0003750480916
Afghanistan,3/31/2020,38928341,175,0.0004495439454
Afghanistan,4/1/2020,38928341,197,0.0005060580414
Afghanistan,4/2/2020,38928341,240,0.0006165174108
Afghanistan,4/3/2020,38928341,275,0.0007064261999
Afghanistan,4/4/2020,38928341,300,0.0007706467635
Afghanistan,4/5/2020,38928341,338,0.0008682620202
Afghanistan,4/6/2020,38928341,368,0.0009453266966
Afghanistan,4/7/2020,38928341,424,0.001089180759
Afghanistan,4/8/2020,38928341,445,0.001143126033
Afghanistan,4/9/2020,38928341,485,0.001245878934
Afghanistan,4/10/2020,38928341,532,0.001366613594
Afghanistan,4/11/2020,38928341,556,0.001428265335
Afghanistan,4/12/2020,38928341,608,0.001561844107
Afghanistan,4/13/2020,38928341,666,0.001710835815
Afghanistan,4/14/2020,38928341,715,0.00183670812
Afghanistan,4/15/2020,38928341,785,0.002016525698
Afghanistan,4/16/2020,38928341,841,0.00216037976
Afghanistan,4/17/2020,38928341,907,0.002329922048
Afghanistan,4/18/2020,38928341,934,0.002399280257
Afghanistan,4/19/2020,38928341,997,0.002561116077
Afghanistan,4/20/2020,38928341,1027,0.002638180754
Afghanistan,4/21/2020,38928341,1093,0.002807723042
Afghanistan,4/22/2020,38928341,1177,0.003023504135
Afghanistan,4/23/2020,38928341,1236,0.003175064666
Afghanistan,4/24/2020,38928341,1331,0.003419102807
Afghanistan,4/25/2020,38928341,1464,0.003760756206
Afghanistan,4/26/2020,38928341,1532,0.003935436139
Afghanistan,4/27/2020,38928341,1704,0.004377273617
Afghanistan,4/28/2020,38928341,1830,0.004700945257
Afghanistan,4/29/2020,38928341,1940,0.004983515737
Afghanistan,4/30/2020,38928341,2127,0.005463885553
Afghanistan,5/1/2020,38928341,2291,0.005885172451
