location,date,total_cases,total_deaths,Death_Percentage
Afghanistan,2/24/2020,1,,
Afghanistan,2/25/2020,1,,
Afghanistan,2/26/2020,1,,
Afghanistan,2/27/2020,1,,
Afghanistan,2/28/2020,1,,
Afghanistan,2/29/2020,1,,
Afghanistan,3/1/2020,1,,
Afghanistan,3/2/2020,1,,
Afghanistan,3/3/2020,2,,
Afghanistan,3/4/2020,4,,
Afghanistan,3/5/2020,4,,
Afghanistan,3/6/2020,4,,
Afghanistan,3/7/2020,4,,
Afghanistan,3/8/2020,5,,
Afghanistan,3/9/2020,7,,
Afghanistan,3/10/2020,8,,
Afghanistan,3/11/2020,11,,
Afghanistan,3/12/2020,12,,
Afghanistan,3/13/2020,13,,
Afghanistan,3/14/2020,15,,
Afghanistan,3/15/2020,16,,
Afghanistan,3/16/2020,18,,
Afghanistan,3/17/2020,20,,
Afghanistan,3/18/2020,24,,
Afghanistan,3/19/2020,25,,
Afghanistan,3/20/2020,29,,
Afghanistan,3/21/2020,30,,
Afghanistan,3/22/2020,34,1,2.941176471
Afghanistan,3/23/2020,41,1,2.43902439
Afghanistan,3/24/2020,43,1,2.325581395
Afghanistan,3/25/2020,76,2,2.631578947
Afghanistan,3/26/2020,80,3,3.75
Afghanistan,3/27/2020,91,3,3.296703297
Afghanistan,3/28/2020,107,4,3.738317757
Afghanistan,3/29/2020,118,4,3.389830508
Afghanistan,3/30/2020,146,4,2.739726027
Afghanistan,3/31/2020,175,4,2.285714286
Afghanistan,4/1/2020,197,4,2.030456853
Afghanistan,4/2/2020,240,4,1.666666667
Afghanistan,4/3/2020,275,8,2.909090909
Afghanistan,4/4/2020,300,10,3.333333333
Afghanistan,4/5/2020,338,12,3.550295858
Afghanistan,4/6/2020,368,15,4.076086957
Afghanistan,4/7/2020,424,16,3.773584906
Afghanistan,4/8/2020,445,16,3.595505618
Afghanistan,4/9/2020,485,17,3.505154639
Afghanistan,4/10/2020,532,18,3.383458647
Afghanistan,4/11/2020,556,18,3.237410072
Afghanistan,4/12/2020,608,19,3.125
Afghanistan,4/13/2020,666,22,3.303303303
Afghanistan,4/14/2020,715,23,3.216783217
Afghanistan,4/15/2020,785,29,3.694267516
Afghanistan,4/16/2020,841,30,3.567181926
Afghanistan,4/17/2020,907,30,3.307607497
Afghanistan,4/18/2020,934,30,3.211991435
Afghanistan,4/19/2020,997,33,3.309929789
Afghanistan,4/20/2020,1027,36,3.505355404
Afghanistan,4/21/2020,1093,36,3.2936871
Afghanistan,4/22/2020,1177,40,3.398470688
Afghanistan,4/23/2020,1236,40,3.236245955
Afghanistan,4/24/2020,1331,43,3.230653644
Afghanistan,4/25/2020,1464,47,3.210382514
Afghanistan,4/26/2020,1532,52,3.394255875
Afghanistan,4/27/2020,1704,58,3.403755869
Afghanistan,4/28/2020,1830,59,3.224043716
Afghanistan,4/29/2020,1940,61,3.144329897
Afghanistan,4/30/2020,2127,64,3.008932769
Afghanistan,5/1/2020,2291,68,2.968136185
Afghanistan,5/2/2020,2470,72,2.914979757
Afghanistan,5/3/2020,2705,85,3.14232902
Afghanistan,5/4/2020,2895,90,3.10880829
Afghanistan,5/5/2020,3225,95,2.945736434
Afghanistan,5/6/2020,3393,104,3.0651341
Afghanistan,5/7/2020,3564,106,2.974186308
Afghanistan,5/8/2020,3781,109,2.882835229
Afghanistan,5/9/2020,4042,115,2.845126175
Afghanistan,5/10/2020,4403,120,2.72541449
Afghanistan,5/11/2020,4687,122,2.602944314
Afghanistan,5/12/2020,4968,127,2.556360709
Afghanistan,5/13/2020,5227,132,2.525349149
Afghanistan,5/14/2020,5640,136,2.411347518
Afghanistan,5/15/2020,6054,153,2.527254708
Afghanistan,5/16/2020,6403,168,2.623770108
Afghanistan,5/17/2020,6665,170,2.550637659
Afghanistan,5/18/2020,7073,173,2.445921108
Afghanistan,5/19/2020,7654,178,2.325581395
Afghanistan,5/20/2020,8146,188,2.307881169
Afghanistan,5/21/2020,8677,194,2.235795782
Afghanistan,5/22/2020,9219,206,2.234515674
Afghanistan,5/23/2020,10001,217,2.169783022
Afghanistan,5/24/2020,10585,219,2.068965517
Afghanistan,5/25/2020,11176,220,1.968503937
Afghanistan,5/26/2020,11834,221,1.867500423
Afghanistan,5/27/2020,12459,228,1.830002408
Afghanistan,5/28/2020,13039,236,1.809954751
Afghanistan,5/29/2020,13662,247,1.807934417
Afghanistan,5/30/2020,14528,250,1.720814978
Afghanistan,5/31/2020,15208,258,1.696475539
Afghanistan,6/1/2020,15753,266,1.688567257
