date,Global_Cases,Global_Deaths,Global_Death_Per
1/1/2020,,,
1/2/2020,,,
1/3/2020,,,
1/4/2020,,,
1/5/2020,,,
1/6/2020,,,
1/7/2020,,,
1/8/2020,,,
1/9/2020,,,
1/10/2020,,,
1/11/2020,,,
1/12/2020,,,
1/13/2020,,,
1/14/2020,,,
1/15/2020,,,
1/16/2020,,,
1/17/2020,,,
1/18/2020,,,
1/19/2020,,,
1/20/2020,,,
1/21/2020,,,
1/22/2020,,,
1/23/2020,98,1,1.020408163
1/24/2020,286,8,2.797202797
1/25/2020,492,16,3.25203252
1/26/2020,685,14,2.04379562
1/27/2020,809,26,3.213844252
1/28/2020,2651,49,1.84835911
1/29/2020,589,2,0.3395585739
1/30/2020,2068,38,1.837524178
1/31/2020,1692,42,2.482269504
2/1/2020,2111,46,2.179062056
2/2/2020,4749,103,2.168877658
2/3/2020,3100,64,2.064516129
2/4/2020,4011,66,1.645474944
2/5/2020,3745,72,1.922563418
2/6/2020,3160,70,2.215189873
2/7/2020,3532,85,2.406568516
2/8/2020,2734,87,3.182150695
2/9/2020,3027,100,3.303600925
2/10/2020,2538,107,4.215918046
2/11/2020,2042,100,4.897159647
2/12/2020,378,5,1.322751323
2/13/2020,15153,253,1.669636376
2/14/2020,6484,152,2.344231956
2/15/2020,2076,143,6.888246628
2/16/2020,2113,104,4.921911973
2/17/2020,1936,98,5.061983471
2/18/2020,1794,140,7.803790412
2/19/2020,421,115,27.31591449
2/20/2020,547,123,22.48628885
2/21/2020,629,4,0.6359300477
2/22/2020,1761,207,11.75468484
2/23/2020,323,10,3.095975232
2/24/2020,564,160,28.36879433
2/25/2020,853,80,9.37866354
2/26/2020,963,60,6.230529595
2/27/2020,1360,43,3.161764706
2/28/2020,1386,57,4.112554113
2/29/2020,1891,69,3.648863035
3/1/2020,2381,54,2.267954641
3/2/2020,1983,89,4.488149269
3/3/2020,2593,75,2.892402622
3/4/2020,2308,95,4.116117851
3/5/2020,2811,94,3.344005692
3/6/2020,3913,111,2.836698186
3/7/2020,4095,104,2.53968254
3/8/2020,3949,239,6.052165105
3/9/2020,4172,190,4.554170662
3/10/2020,4822,274,5.682289506
3/11/2020,7661,343,4.477222295
3/12/2020,5790,306,5.284974093
3/13/2020,14384,497,3.455228031
3/14/2020,11074,420,3.792667509
3/15/2020,11269,636,5.64380158
3/16/2020,14808,683,4.612371691
3/17/2020,15943,813,5.099416672
3/18/2020,19559,906,4.632138657
3/19/2020,27049,1111,4.107360716
3/20/2020,30775,1486,4.828594639
3/21/2020,31991,1721,5.379638023
3/22/2020,34855,1686,4.837182614
3/23/2020,42835,1949,4.550017509
3/24/2020,41179,2288,5.556230117
3/25/2020,51001,2810,5.509695888
3/26/2020,62877,3035,4.826884234
3/27/2020,65041,3488,5.362771175
3/28/2020,67278,3730,5.544160052
3/29/2020,59237,3519,5.940543917
3/30/2020,65294,4081,6.250191442
3/31/2020,76845,4748,6.178671351
4/1/2020,82801,5995,7.240250722
4/2/2020,83060,5887,7.087647484
4/3/2020,83559,6161,7.373233284
4/4/2020,58363,5914,10.13313229
4/5/2020,72592,5188,7.146793035
4/6/2020,73155,5938,8.117011824
4/7/2020,69831,8258,11.82569346
4/8/2020,83378,6811,8.168821512
4/9/2020,87014,7784,8.945686901
4/10/2020,85534,7378,8.62580962
4/11/2020,74283,6172,8.308765128
4/12/2020,119696,5859,4.894900414
4/13/2020,70742,5966,8.433462441
4/14/2020,84011,6968,8.294151956
4/15/2020,77114,8473,10.98762871
4/16/2020,95531,7259,7.598580565
4/17/2020,87997,8393,9.537825153
4/18/2020,77240,6145,7.955722424
4/19/2020,76605,5233,6.831146792
4/20/2020,76018,5871,7.723170828
4/21/2020,75749,7273,9.601446884
4/22/2020,81247,6864,8.448311938
4/23/2020,84249,6828,8.104547235
4/24/2020,84096,6770,8.05032344
4/25/2020,82259,5628,6.841804544
4/26/2020,71588,3979,5.558194111
4/27/2020,70192,4746,6.761454297
4/28/2020,75540,6578,8.707969288
4/29/2020,77110,6725,8.721307223
4/30/2020,83495,5841,6.995628481
5/1/2020,88376,5151,5.828505477
5/2/2020,79200,5495,6.938131313
5/3/2020,76373,3511,4.597174394
5/4/2020,77689,4212,5.42161696
5/5/2020,80502,5823,7.233360662
5/6/2020,90028,6505,7.225529835
5/7/2020,88706,5310,5.986066331
5/8/2020,90279,5552,6.149824433
5/9/2020,85223,4225,4.957581873
5/10/2020,74976,3559,4.746852326
5/11/2020,76631,3486,4.54907283
5/12/2020,84491,5485,6.491815696
5/13/2020,84980,5132,6.039068016
5/14/2020,96231,5169,5.371449949
5/15/2020,95732,5221,5.453766766
5/16/2020,94439,4176,4.421901968
5/17/2020,78022,3187,4.084745328
5/18/2020,89167,3763,4.22017114
5/19/2020,96775,4647,4.801859985
5/20/2020,101878,4779,4.690904808
5/21/2020,106644,4659,4.368740857
5/22/2020,106422,5244,4.927552574
5/23/2020,104804,3926,3.746040227
5/24/2020,94211,3016,3.201324686
5/25/2020,86717,1212,1.397649826
5/26/2020,93967,4242,4.514350783
5/27/2020,102762,5055,4.919133532
5/28/2020,119283,4552,3.816134738
5/29/2020,120903,4608,3.811319818
5/30/2020,136515,4024,2.947661429
5/31/2020,106408,2692,2.529884971
6/1/2020,95995,3073,3.201208396
6/2/2020,121964,4677,3.834738119
