location,population,Highest_Inf_Count,Covid_Per_Pop,Total_Death_Count
United States,331002647,32346971,9.772420642,576232
Brazil,212559409,14659011,6.896430071,403781
Mexico,128932753,2344755,1.818587555,216907
India,1380004385,19164969,1.388761457,211853
United Kingdom,67886004,4432246,6.528954039,127775
Italy,60461828,4022653,6.653211014,120807
Russia,145934460,4750755,3.255403145,108290
France,68147687,5677835,8.331662086,104675
Germany,83783945,3405365,4.064460082,83097
Spain,46754783,3524077,7.537361472,78216
Colombia,50882884,2859724,5.620208163,73720
Iran,83992953,2499077,2.975341277,71758
Poland,37846605,2792142,7.37752303,67502
Argentina,45195777,2977363,6.587701767,63865
Peru,32971846,1799445,5.457519728,61477
South Africa,59308690,1581210,2.666067991,54350
Ukraine,43733759,2124070,4.856820105,45923
Indonesia,273523621,1668368,0.6099539023,45521
Turkey,84339067,4820591,5.715727209,40131
Czechia,10708982,1630758,15.22794604,29267
Romania,19237682,1055265,5.485406194,28109
Hungary,9660350,779348,8.067492379,27540
Chile,19116209,1198245,6.268214582,26353
Belgium,11589616,990229,8.544105344,24230
Canada,37742157,1228367,3.254628505,24220
Ecuador,17643060,381862,2.164375114,18631
Pakistan,220892331,825519,0.3737200818,17957
Netherlands,17134873,1522973,8.888148748,17398
Philippines,109581085,1037460,0.9467509835,17234
Portugal,10196707,836493,8.203560228,16974
Bulgaria,6948445,404380,5.819719376,16399
Iraq,40222503,1065199,2.64826632,15465
Sweden,10099270,973604,9.640340341,14048
Egypt,102334403,227552,0.2223611936,13339
Bolivia,11673029,303732,2.601998162,12951
Slovakia,5459643,382211,7.000659201,11684
Bangladesh,164689383,759132,0.4609477467,11450
Tunisia,11818618,309119,2.615525775,10722
Switzerland,8654618,659974,7.625686079,10632
Greece,10423056,345033,3.31028635,10381
Austria,9006400,618870,6.871446971,10205
Japan,126476458,593264,0.4690706946,10199
Morocco,36910558,511249,1.385102333,9023
Jordan,10203140,711373,6.972098785,8836
Bosnia and Herzegovina,3280815,198461,6.049137181,8551
Guatemala,17915567,227671,1.270799858,7524
Lebanon,6825442,526578,7.714928938,7278
Croatia,4105268,332183,8.091627636,7081
Saudi Arabia,34813867,417363,1.198841255,6957
Paraguay,7132530,279077,3.912735032,6385
Israel,8655541,838481,9.687216547,6363
Serbia,6804596,689557,10.13369493,6362
Panama,4314768,364576,8.449492534,6232
Moldova,4033963,250837,6.218128426,5812
Honduras,9904608,212333,2.143779946,5281
Ireland,4937796,248870,5.040102912,4903
North Macedonia,2083380,152367,7.313452179,4855
China,1439323774,102494,0.007120982912,4845
Azerbaijan,10139175,319109,3.147287624,4517
Slovenia,2078932,240292,11.55843481,4250
Georgia,3989175,310310,7.778801381,4110
Armenia,2963234,216064,7.291493011,4108
Lithuania,2722291,247269,9.083121533,3923
